Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) : TP=11,717,392, YP=18,656,124, Toplam=30,373,516
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Nakit ve Nakit Benzerleri : TP=7,652,620, YP=13,501,446, Toplam=21,154,066
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Nakit ve Nakit Benzerleri > Nakit Değerler ve Merkez Bankası : TP=7,453,246, YP=9,313,438, Toplam=16,766,684
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Nakit ve Nakit Benzerleri > Bankalar : TP=201,785, YP=4,188,008, Toplam=4,389,793
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Nakit ve Nakit Benzerleri > Para Piyasalarından Alacaklar : TP=-, YP=-, Toplam=-
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Nakit ve Nakit Benzerleri > Beklenen Zarar Karşılıkları (-) : TP=2,411, YP=-, Toplam=2,411
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Kâr Zarara YansıtılanFinansal Varlıklar : TP=49,278, YP=4,208, Toplam=53,486
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Kâr Zarara YansıtılanFinansal Varlıklar > Devlet Borçlanma Senetleri : TP=49,278, YP=4,208, Toplam=53,486
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Kâr Zarara YansıtılanFinansal Varlıklar > Sermayede Payı Temsil Eden Menkul Değerler : TP=, YP=, Toplam=
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Kâr Zarara YansıtılanFinansal Varlıklar > Diğer Finansal Varlıklar : TP=, YP=, Toplam=
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Diğer Kapsamlı GelireYansıtılan Finansal Varlıklar : TP=3,626,243, YP=4,383,443, Toplam=8,009,686
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Diğer Kapsamlı GelireYansıtılan Finansal Varlıklar > Devlet Borçlanma Senetleri : TP=3,010,999, YP=4,383,443, Toplam=7,394,442
Date=Sınırlı Denetimden Geçmiş Cari Dönem 31 Mart 2025 | FİNANSAL VARLIKLAR (Net) > Gerçeğe Uygun Değer Farkı Diğer Kapsamlı GelireYansıtılan Finansal Varlıklar > Sermayede Payı Temsil Eden Menkul Değerler : TP=16,504, YP=, Toplam=16,504
